k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,gamma
300,0.9399185128596894,0.03367794661757987,0.9243403355903357,0.047158238370729424,0.9393061385039996,0.03254545793379179,400,3,0.03,0.9,0.8,1.0,0.05,,
300,0.9399185128596894,0.03367794661757987,0.9243403355903357,0.047158238370729424,0.9393061385039996,0.03254545793379179,300,3,0.05,1.0,0.75,5.0,0.1,2.0,0.05
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,4,0.02,0.9,0.8,0.5,0.0,1.0,0.0
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,4,0.02,1.0,0.8,0.5,0.1,1.0,0.0
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,500,4,0.02,0.85,0.75,0.5,0.0,2.0,0.05
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.05,0.85,0.75,5.0,0.1,2.0,0.0
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.02,0.9,0.9,0.5,0.03,1.0,0.03
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.03,0.9,0.9,1.0,0.1,1.0,0.1
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,2,0.05,0.85,0.75,5.0,0.05,3.0,0.05
300,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,500,4,0.02,0.85,0.75,0.5,0.05,1.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.03,0.9,0.8,1.0,0.05,,
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,4,0.02,0.9,0.8,0.5,0.0,1.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,4,0.02,1.0,0.8,0.5,0.1,1.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.05,1.0,0.75,5.0,0.1,2.0,0.05
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.04,0.9,0.9,1.0,0.03,2.0,0.1
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,500,4,0.02,0.85,0.75,0.5,0.0,2.0,0.05
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,300,3,0.05,0.85,0.75,5.0,0.1,2.0,0.0
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.02,0.9,0.9,0.5,0.03,1.0,0.03
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,3,0.03,0.9,0.9,1.0,0.1,1.0,0.1
350,0.9338579067990832,0.03588155985900688,0.9191904237737571,0.04785953215809856,0.9336880528859138,0.0338112453281838,400,2,0.05,0.85,0.75,5.0,0.05,3.0,0.05
250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279,400,3,0.03,0.9,0.8,1.0,0.05,,
250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279,300,3,0.05,1.0,0.75,5.0,0.1,2.0,0.05
250,0.934036159918513,0.03019589589564083,0.9144637923804592,0.040024278038515236,0.9340773803340647,0.02883216327755279,400,3,0.03,0.9,0.9,1.0,0.1,1.0,0.1
350,0.9277973007384771,0.04164872331811945,0.9137583250083251,0.050899425834640286,0.927762126959988,0.03879989691663143,400,3,0.02,1.0,0.9,2.0,0.03,1.0,0.0
300,0.9277973007384771,0.04164872331811945,0.9133414579247914,0.05122053865461063,0.9273073628688602,0.039304414728823685,300,3,0.04,0.9,0.9,1.0,0.03,2.0,0.1
300,0.9277973007384771,0.04164872331811945,0.9133414579247914,0.05122053865461063,0.9273073628688602,0.039304414728823685,650,2,0.04,0.85,0.9,5.0,0.1,3.0,0.03
350,0.9277973007384771,0.04164872331811945,0.9133414579247914,0.05122053865461063,0.9273073628688602,0.039304414728823685,650,2,0.04,0.85,0.9,5.0,0.1,3.0,0.03
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,3,0.04,0.9,0.9,2.0,0.0,3.0,0.05
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,300,4,0.04,0.9,0.9,0.5,0.03,1.0,0.03
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.03,3.0,0.05
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,4,0.02,1.0,0.8,1.0,0.0,3.0,0.03
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.04,0.9,0.9,2.0,0.0,1.0,0.1
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.0,1.0,0.05
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,500,3,0.05,1.0,0.8,2.0,0.03,1.0,0.1
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,4,0.02,1.0,0.75,0.5,0.03,2.0,0.0
300,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,4,0.03,0.85,0.75,2.0,0.1,2.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,3,0.04,0.9,0.9,2.0,0.0,3.0,0.05
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,300,4,0.04,0.9,0.9,0.5,0.03,1.0,0.03
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.03,3.0,0.05
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.04,0.9,0.9,2.0,0.0,1.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.0,1.0,0.05
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,500,3,0.05,1.0,0.8,2.0,0.03,1.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,4,0.02,1.0,0.75,0.5,0.03,2.0,0.0
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,4,0.03,0.85,0.75,2.0,0.1,2.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,500,4,0.02,0.85,0.75,0.5,0.05,1.0,0.0
250,0.9279755538579068,0.03152416740704624,0.9093138805638805,0.03958347573797587,0.9284592947159791,0.029266634511606698,300,3,0.04,0.9,0.9,1.0,0.03,2.0,0.1
250,0.9279755538579068,0.03152416740704624,0.9093138805638805,0.03958347573797587,0.9284592947159791,0.029266634511606698,400,3,0.02,0.9,0.9,0.5,0.03,1.0,0.03
250,0.9279755538579068,0.03152416740704624,0.9093138805638805,0.03958347573797587,0.9284592947159791,0.029266634511606698,400,2,0.05,0.85,0.75,5.0,0.05,3.0,0.05
300,0.9217366946778711,0.049755336766199046,0.908947718947719,0.05437868733679121,0.9222800332960761,0.045828569478122166,400,3,0.02,1.0,0.9,2.0,0.03,1.0,0.0
300,0.9217366946778711,0.049755336766199046,0.908947718947719,0.05437868733679121,0.9222800332960761,0.045828569478122166,400,3,0.02,1.0,0.75,5.0,0.03,3.0,0.03
300,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747,650,4,0.03,0.9,0.9,5.0,0.1,2.0,0.1
300,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747,500,4,0.04,0.85,0.75,2.0,0.05,2.0,0.05
350,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747,650,4,0.03,0.9,0.9,5.0,0.1,2.0,0.1
350,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747,500,4,0.04,0.85,0.75,2.0,0.05,2.0,0.05
350,0.9217366946778711,0.049755336766199046,0.9064962198295532,0.056522190876691934,0.921174606736104,0.04712372424591536,650,4,0.02,1.0,0.8,1.0,0.0,3.0,0.03
250,0.9219149477973007,0.037008130174995525,0.9038817817984486,0.04194958363379409,0.9225333687900532,0.03401172031131822,400,3,0.02,1.0,0.9,2.0,0.03,1.0,0.0
250,0.9219149477973007,0.037008130174995525,0.9038817817984486,0.04194958363379409,0.9225333687900532,0.03401172031131822,400,3,0.02,1.0,0.75,5.0,0.03,3.0,0.03
350,0.915676088617265,0.056063437530736386,0.90326870660204,0.05889538309361013,0.9160847471007898,0.05207116074600657,400,3,0.02,1.0,0.75,5.0,0.03,3.0,0.03
250,0.9219149477973007,0.03165899936559689,0.9030528576361909,0.048657171820647035,0.9224948887515731,0.032118224666551655,300,3,0.05,0.85,0.75,5.0,0.1,2.0,0.0
250,0.9219149477973007,0.04167626611475604,0.9024686424686426,0.04563909049232697,0.922326538583223,0.039325224722378135,650,3,0.03,0.9,0.75,0.5,0.03,3.0,0.05
250,0.9219149477973007,0.04167626611475604,0.9024686424686426,0.04563909049232697,0.922326538583223,0.039325224722378135,650,3,0.03,0.9,0.75,0.5,0.0,1.0,0.05
250,0.9219149477973007,0.04167626611475604,0.9024686424686426,0.04563909049232697,0.922326538583223,0.039325224722378135,500,3,0.05,1.0,0.8,2.0,0.03,1.0,0.1
250,0.9222612681436211,0.02505552754407949,0.9023908036408038,0.02919869716369969,0.9223933606500451,0.021884224010962006,300,4,0.02,0.9,0.8,0.5,0.0,1.0,0.0
250,0.9222612681436211,0.02505552754407949,0.9023908036408038,0.02919869716369969,0.9223933606500451,0.021884224010962006,400,4,0.02,1.0,0.8,0.5,0.1,1.0,0.0
250,0.9222612681436211,0.02505552754407949,0.9023908036408038,0.02919869716369969,0.9223933606500451,0.021884224010962006,400,3,0.04,0.9,0.9,2.0,0.0,3.0,0.05
250,0.9222612681436211,0.02505552754407949,0.9023908036408038,0.02919869716369969,0.9223933606500451,0.021884224010962006,500,4,0.02,0.85,0.75,0.5,0.0,2.0,0.05
250,0.9222612681436211,0.02505552754407949,0.9023908036408038,0.02919869716369969,0.9223933606500451,0.021884224010962006,500,4,0.02,0.85,0.75,0.5,0.05,1.0,0.0
250,0.9160224089635853,0.04514752062683722,0.9023343631676966,0.050229696162574944,0.915794834992696,0.04169933432607967,300,2,0.04,0.85,0.75,1.0,0.0,3.0,0.05
300,0.9160224089635853,0.04514752062683722,0.9023343631676966,0.050229696162574944,0.915794834992696,0.04169933432607967,300,2,0.04,0.85,0.9,1.0,0.03,2.0,0.03
300,0.9160224089635853,0.04514752062683722,0.9023343631676966,0.050229696162574944,0.915794834992696,0.04169933432607967,300,2,0.04,0.85,0.75,1.0,0.0,3.0,0.05
350,0.9160224089635853,0.04514752062683722,0.9023343631676966,0.050229696162574944,0.915794834992696,0.04169933432607967,300,2,0.04,0.85,0.9,1.0,0.03,2.0,0.03
350,0.9160224089635853,0.04514752062683722,0.9023343631676966,0.050229696162574944,0.915794834992696,0.04169933432607967,300,2,0.04,0.85,0.75,1.0,0.0,3.0,0.05
300,0.9167150496562261,0.04369757871350771,0.8985922719256052,0.04931656526046655,0.9137892648053075,0.04311166903459861,300,2,0.03,1.0,0.9,1.0,0.0,1.0,0.05
250,0.9158543417366947,0.052667796141506504,0.898074703074703,0.05110509537616935,0.9171474752223414,0.04861541342290512,650,3,0.04,0.9,0.9,2.0,0.0,1.0,0.1
250,0.9158543417366947,0.03612006253495545,0.897203891787225,0.05011739203921384,0.9161141987345195,0.03592181566905224,650,2,0.04,0.85,0.9,5.0,0.1,3.0,0.03
250,0.9106544435956201,0.04220789660153913,0.8961701107534441,0.047682096219809296,0.9074278484438911,0.040755157827605845,400,2,0.02,0.85,0.75,5.0,0.1,3.0,0.05
250,0.9106544435956201,0.04220789660153913,0.8960709044042379,0.047624461594926046,0.9066822976983404,0.04073100700936113,300,2,0.03,1.0,0.9,1.0,0.0,1.0,0.05
300,0.9103081232492997,0.04315354203978422,0.8959761380594713,0.04614292551965336,0.9095487001751325,0.03945657913559403,300,2,0.04,0.9,0.75,5.0,0.05,1.0,0.03
350,0.9103081232492997,0.04315354203978422,0.8959761380594713,0.04614292551965336,0.9095487001751325,0.03945657913559403,300,2,0.04,0.9,0.75,5.0,0.05,1.0,0.03
250,0.916200662083015,0.036078434248294954,0.8955455655455655,0.03569115752879291,0.916260604517289,0.033082546390869536,300,4,0.04,0.9,0.9,0.5,0.03,1.0,0.03
250,0.916200662083015,0.036078434248294954,0.8955455655455655,0.03569115752879291,0.916260604517289,0.033082546390869536,650,4,0.02,1.0,0.8,1.0,0.0,3.0,0.03
250,0.916200662083015,0.036078434248294954,0.8955455655455655,0.03569115752879291,0.916260604517289,0.033082546390869536,650,4,0.02,1.0,0.75,0.5,0.03,2.0,0.0
250,0.916200662083015,0.036078434248294954,0.8955455655455655,0.03569115752879291,0.916260604517289,0.033082546390869536,400,4,0.03,0.85,0.75,2.0,0.1,2.0,0.1
300,0.9106544435956201,0.04220789660153913,0.8947665143498478,0.04853256992737208,0.9083511556773587,0.0406983606821424,300,2,0.02,0.9,0.8,2.0,0.03,3.0,0.1
300,0.9106544435956201,0.04220789660153913,0.8936409732243066,0.04645566671538315,0.9085354277332887,0.04089152005393154,400,2,0.02,0.85,0.75,5.0,0.1,3.0,0.05
350,0.9106544435956201,0.04220789660153913,0.8936121131954465,0.04648475218534714,0.9085039440654412,0.040933250488359316,300,2,0.02,0.9,0.8,2.0,0.03,3.0,0.1
250,0.9101400560224089,0.03917596233971415,0.8924578199578199,0.03829333999331134,0.9105660768227611,0.03556756176265579,300,2,0.04,0.9,0.75,5.0,0.05,1.0,0.03
250,0.9101400560224089,0.03917596233971415,0.8924578199578199,0.03829333999331134,0.9105660768227611,0.03556756176265579,300,2,0.04,0.85,0.9,1.0,0.03,2.0,0.03
250,0.9101400560224089,0.047637956942755195,0.8911516261516261,0.041735162121962655,0.9110815411564074,0.04299544493056994,650,4,0.03,0.9,0.9,5.0,0.1,2.0,0.1
250,0.9101400560224089,0.047637956942755195,0.8911516261516261,0.041735162121962655,0.9110815411564074,0.04299544493056994,500,4,0.04,0.85,0.75,2.0,0.05,2.0,0.05
250,0.8988795518207283,0.04789322294046041,0.8882326315659649,0.04958137143385004,0.896193198194726,0.0457898049709061,300,2,0.02,0.9,0.8,2.0,0.03,3.0,0.1
350,0.904593837535014,0.04412915422035725,0.8879862113195447,0.0456629512915802,0.9035570727549336,0.04122079280641027,300,2,0.03,1.0,0.9,1.0,0.0,1.0,0.05
350,0.904593837535014,0.04412915422035725,0.8879862113195447,0.0456629512915802,0.9035570727549336,0.04122079280641027,400,2,0.02,0.85,0.75,5.0,0.1,3.0,0.05
